vote,netusoft,cntry
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,most days,NL
yes,only occasionally,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,every day,NL
yes,only occasionally,NL
yes,every day,NL
yes,never,NL
no,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,a few times a week,NL
yes,every day,NL
yes,every day,NL
yes,never,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
no,a few times a week,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,never,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,a few times a week,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,never,NL
yes,every day,NL
no,every day,NL
no,every day,NL
yes,every day,NL
no,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,never,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,a few times a week,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
,every day,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,most days,NL
yes,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
no,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
yes,every day,NL
